Nombre,Año,Episodios,Tipo,Link,Sinopsis
The Great,2020 - 2021,17,"Comedia, Drama",https://www.starz.com/ar/es/series/the-great/57979,"The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con el reinado más largo de la historia de Rusia. Una historia"
Express,2021 - 2022,2,"Acción, Crimen",https://www.starz.com/ar/es/series/express/63120,"Bárbara Vázquez, brillante psicóloga criminal, presenta su renuncia en la Policía y comienza a trabajar en Zentral Risk, una aseguradora cuyo producto estrella es una póliza"
The Act,2019,8,"Docudrama, Drama",https://www.starz.com/ar/es/series/the-act/46154,"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas historias"
The Spanish Princess,2019 - 2020,17,"Drama, Histórica",https://www.starz.com/ar/es/series/the-spanish-princess/42457,"""The Spanish Princess"" es la vívida y cautivante narración de la historia de Catalina de Aragón, que ha sido históricamente eclipsada por su infame matrimonio con el rey"
Sweetbitter,2018 - 2019,14,"Drama, Literaria",https://www.starz.com/ar/es/series/sweetbitter/37699,"Tess empieza a trabajar en uno de los restaurantes más elegantes de Nueva York, pensando en que sería un trabajo temporal, pero pronto se vio imbuida en al ambiente de sus"
Reign,2013 - 2017,78,Drama,https://www.starz.com/ar/es/series/reign/63571,"La historia comienza en el año 1557 cuando Mary, Reina de Escocia, tiene que partir del convento en el que vivía hacia Francia, para contraer matrimonio con el Príncipe"
Normal People,2020,13,"Drama, Romántica",https://www.starz.com/ar/es/series/normal-people/60083,"Desde la escuela a la universidad, Normal People sigue a Connell y Marianne mientras entretejen sus vidas en un programa que explora lo complicado que puede ser el amor"
The Borgias,2011 - 2013,29,Drama,https://www.starz.com/ar/es/series/the-borgias/61183,"Sexo. Poder. Asesinato. Amén. Jeremy Irons, ganador del Oscar®, protagoniza esta nueva y épica serie original de Showtime, The Borgias, la historia explosiva de la primera"
Baptiste,2019 - 2021,10,Drama,https://www.starz.com/ar/es/series/baptiste/45713,"El impredecible detective, Julien Baptiste, quien está de vacaciones con su esposa en Ámsterdam, apoya a su exnovia, la Jefa de Policía de Ámsterdam, en una investigación."
The Girlfriend Experience,2016 - 2021,38,Drama,https://www.starz.com/ar/es/series/the-girlfriend-experience/25586,"""The Girlfriend Experience"" es la reinvención de la aclamada película en 2009 del mismo nombre de Steven Soderbergh y explora las relaciones entre acompañantes exclusivas y"
The White Queen,2013,10,"Drama, Literaria",https://www.starz.com/ar/es/series/the-white-queen/18124,"""The White Queen"" es una fascinante historia de amor y deseo, traición y asesinatos, en donde se tejen vibrantemente las historias de tres mujeres diferentes pero igualmente"
Dr. Death,2021,9,"Crimen, Drama",https://www.starz.com/ar/es/series/dr-death/61268,"Basada en el exitoso podcast de Wondery, Dr. Death cuanta la impactante historia verdadera del Dr. Christopher Duntsch (Joshua Jackson), un joven neurocirujano aparentemente"
Black Sails,2014 - 2017,38,"Drama, Acción",https://www.starz.com/ar/es/series/black-sails/19568,"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de los"
The White Princess,2017,8,"Drama, Literaria",https://www.starz.com/ar/es/series/the-white-princess/30887,“The White Princess” representa una turbulenta época de la historia británica desde la visión de las mujeres que encarnan una dura batalla por el poder.
Luther,2010 - 2019,20,"Crimen, Drama",https://www.starz.com/ar/es/series/luther/45048,"Un oscuro drama psicológico donde Idris Elba interpreta a Luther, un hombre que lucha contra sus propios demonios terribles, que podría ser tan peligroso como los depravados"
Houdini,2014,2,"Drama, Histórica",https://www.starz.com/ar/es/series/houdini/45824,"Adrien Brody, ganador del Premio de la Academia*, y Kristen Connolly estelarizan HOUDINI, que sigue la transformación de inmigrante a superestrella del mundialmente famoso"
MotherFatherSon,2019,8,Drama,https://www.starz.com/ar/es/series/motherfatherson/44758,"Max posee uno de los imperios mediáticos más influyentes del mundo. La información es su oficio: tiene secretos oscuros para todos y usa su poder despiadadamente, incluso en"
Gangs of London,2020,10,"Acción, Crimen",https://www.starz.com/ar/es/series/gangs-of-london/60530,"Tras el asesinato del líder de una banda criminal, el vacío de poder amenaza la frágil paz entre la compleja red de pandillas que operan en las calles de Londres."
Dublin Murders,2019,9,"Crimen, Drama",https://www.starz.com/ar/es/series/dublin-murders/45426,"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción"
Hightown,2020 - 2021,19,"Crimen, Drama",https://www.starz.com/ar/es/series/hightown/57463,"Ambientada en el bello, pero sombrío, Cabo Cod, esta serie, narra el camino de una mujer para dejar las drogas y el alcohol. Pero todo es eclipsado por una investigación por"
Power Book II: Ghost,2020 - 2022,20,"Crimen, Drama",https://www.starz.com/ar/es/series/power-book-ii-ghost/58002,"""El Fantasma"" sigue a Tariq malabareando sus operaciones de drogas, calificaciones, vida amorosa y familia. Para  evitar el destino de su padre, debe convertirse en él, pero"
The Stand,2020 - 2021,10,Drama,https://www.starz.com/ar/es/series/the-stand/61994,The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanidad
